id,created_time,updated_time,title,chinese_title,kind,source_channel,severity,topic,tags,occurred_at,count,resolved,note,chinese_note,urgency_score,page_file
row_rs_00001,2026-05-17T06:16:59.228Z,2026-05-17T10:57:21.171Z,Customer report: billing webhook retries #1,客户反馈: 账单 Webhook 重试 #1,Email,Customer email,Low,Billing,,2026-05-17,17,true,,,0,Customer_report_billing_webhook_retries_#1--row_rs_00001.md
row_rs_00002,2026-05-16T22:35:44.944Z,2026-05-17T02:10:19.105Z,Engineering note: infra cost trend #2,工程笔记: 基础设施成本上扬 #2,Slack,Pager duty,Critical,Search,urgent;customer,2026-05-16,30,true,Short note.,"已记录,本周不需要额外动作。",0,Engineering_note_infra_cost_trend_#2--row_rs_00002.md
row_rs_00003,2026-05-16T15:00:50.173Z,2026-05-16T19:33:47.829Z,Incident drill: feature flag rollout #3,应急演练: 功能开关灰度 #3,Bug,Support ticket,Low,Auth,urgent,2026-05-16,35,false,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",8,Incident_drill_feature_flag_rollout_#3--row_rs_00003.md
row_rs_00004,2026-05-16T10:13:19.917Z,2026-05-16T13:40:54.654Z,Bug triage: auth latency spike #4,Bug 分诊: 登录延迟突增 #4,Note,Support ticket,High,Search,,2026-05-16,46,true,Worth a follow up with the owning team. Recheck after the next release branch is cut to confirm the regression is fully gone and that the dashboards reflect the recovered state.,需要在下一个发布周期内复查。建议把链接放进 runbook 作为案例。,0,Bug_triage_auth_latency_spike_#4--row_rs_00004.md
row_rs_00005,2026-05-15T22:56:53.746Z,2026-05-15T23:19:51.373Z,Sync recap: UI shimmer regression #5,同步回顾: 界面闪烁回归 #5,Meeting,Status page,Info,Analytics,manual;internal,2026-05-15,32,true,Triaged in standup. Lower confidence than usual because the alert fired during a deploy window and may be incidental. Will need a second data point before we escalate.,"在站会上分诊。告警在发布窗口期触发,可能是偶发,需要再观察一轮。",0,Sync_recap_UI_shimmer_regression_#5--row_rs_00005.md
row_rs_00006,2026-05-15T17:16:22.196Z,2026-05-15T20:04:11.811Z,Doc update: analytics gap #6,文档更新: 数据上报缺口 #6,Doc,Telemetry alert,High,Search,manual;internal,2026-05-15,49,false,Customer is unblocked but reports a similar symptom intermittently. Tagging for the next cross-team review.,"客户问题已临时绕过,但仍偶发相似症状,留作跨组例会议题。",60,Doc_update_analytics_gap_#6--row_rs_00006.md
row_rs_00007,2026-05-15T10:25:41.001Z,2026-05-15T13:48:32.429Z,Investigation: schema migration delay #7,排查记录: 迁移延期 #7,Email,Customer email,Low,Mobile,,2026-05-15,36,false,Marked as automated rollup; the underlying batch retried successfully on its own. Keep the link for the runbook so we have an example.,"自动批处理已重试成功,标记为自动化。链接保留供新人参考。",8,Investigation_schema_migration_delay_#7--row_rs_00007.md
row_rs_00008,2026-05-14T23:46:22.214Z,2026-05-15T03:33:45.261Z,Follow up: search index rebuild #8,跟进事项: 搜索索引重建 #8,Slack,Pager duty,Info,UI,automated,2026-05-14,38,false,,,1,Follow_up_search_index_rebuild_#8--row_rs_00008.md
row_rs_00009,2026-05-14T17:20:27.770Z,2026-05-14T22:01:29.860Z,Telemetry blip: mobile crash cluster #9,遥测异常: 移动端崩溃聚簇 #9,Bug,Pager duty,Info,Analytics,automated,2026-05-14,25,false,Short note.,"已记录,本周不需要额外动作。",1,Telemetry_blip_mobile_crash_cluster_#9--row_rs_00009.md
row_rs_00010,2026-05-14T12:33:08.018Z,2026-05-14T16:49:30.255Z,Pager event: queue backlog growth #10,值班事件: 队列积压增长 #10,Note,Status page,High,Search,urgent,2026-05-14,14,true,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",0,Pager_event_queue_backlog_growth_#10--row_rs_00010.md
