id,created_time,updated_time,title,chinese_title,status,priority,team,assignee,tags,due_date,last_reviewed_at,effort,progress,done,notes,owner_notes_zh,urgency,page_file
row_vs_001,2026-05-17T09:00:00.000Z,2026-05-19T01:27:40.600Z,Investigate slow dashboard load,排查仪表盘加载缓慢的问题,Backlog,Medium,Design,Dimitri,feature;refactor;performance,2026-05-12,2026-05-14,3,72,false,"Quick win, mostly tracked elsewhere.","小任务,本周内可以收尾。",20,Investigate_slow_dashboard_load--row_vs_001.md
row_vs_002,2026-05-17T18:37:00.000Z,2026-05-17T22:23:26.542Z,Wire up search auto-complete,接入搜索自动补全,Todo,High,Data,Esma,bug;accessibility;docs,2026-05-15,2026-05-16,12,73,false,Needs design review before any code changes; expect comments from accessibility leads and from the team that owns the underlying telemetry.,"需要先和设计 review 一遍,确认无障碍同事的反馈。",50,Wire_up_search_auto-complete--row_vs_002.md
row_vs_003,2026-05-18T04:14:00.000Z,2026-05-18T17:23:48.718Z,Migrate auth tokens to new format,迁移登录令牌到新版格式,In Progress,Critical,Mobile,Ada,performance;accessibility;feature,2026-05-18,2026-05-16,12,6,false,Blocked on upstream change in the storage adapter; will revisit once the streaming branch lands.,"上游存储改造合并后再继续推进,暂时挂起。",100,Migrate_auth_tokens_to_new_format--row_vs_003.md
row_vs_004,2026-05-18T13:51:00.000Z,2026-05-19T07:03:32.247Z,Refactor sidebar layout,重构侧边栏布局,Blocked,Low,Frontend,Boris,accessibility,2026-05-21,2026-05-14,8,52,false,Touches the cell renderer and the embedded view path; coordinate with the formula refactor so we do not double-instrument.,"牵扯到单元格渲染和嵌入视图,要和公式重构那边对齐节奏。",5,Refactor_sidebar_layout--row_vs_004.md
row_vs_005,2026-05-18T23:28:00.000Z,2026-05-20T07:24:28.961Z,Add empty-state illustrations,补齐空状态插画,In Review,Medium,Backend,Cleo,bug;accessibility,2026-05-24,2026-05-15,11,97,false,Small isolated change; should not require a migration.,"改动范围小,理论上不需要数据迁移。",20,Add_empty-state_illustrations--row_vs_005.md
row_vs_006,2026-05-19T09:05:00.000Z,2026-05-21T02:06:22.028Z,Fix flaky integration test,修复偶发失败的集成测试,Done,High,Design,Dimitri,bug,2026-05-27,2026-05-17,9,100,true,"Spans renderer, preload boundary, and main process — file under risky.","横跨渲染层、preload 边界和主进程,风险偏高,需要分步合并。",0,Fix_flaky_integration_test--row_vs_006.md
row_vs_007,2026-05-19T18:42:00.000Z,2026-05-19T20:35:25.847Z,Audit color contrast on tables,检查表格的颜色对比度,Backlog,Critical,Data,Esma,docs;refactor,2026-05-30,2026-05-16,11,73,false,"Quick win, mostly tracked elsewhere.","小任务,本周内可以收尾。",100,Audit_color_contrast_on_tables--row_vs_007.md
row_vs_008,2026-05-20T04:19:00.000Z,2026-05-21T16:19:29.635Z,Document the formula engine,完善公式引擎文档,Todo,Low,Mobile,Ada,refactor;feature,2026-05-12,2026-05-17,7,34,false,Needs design review before any code changes; expect comments from accessibility leads and from the team that owns the underlying telemetry.,"需要先和设计 review 一遍,确认无障碍同事的反馈。",5,Document_the_formula_engine--row_vs_008.md
row_vs_009,2026-05-20T13:56:00.000Z,2026-05-21T23:58:46.265Z,Trim home page bundle size,瘦身首页打包体积,In Progress,Medium,Frontend,Boris,bug;docs;accessibility,2026-05-15,2026-05-17,13,80,false,Blocked on upstream change in the storage adapter; will revisit once the streaming branch lands.,"上游存储改造合并后再继续推进,暂时挂起。",20,Trim_home_page_bundle_size--row_vs_009.md
row_vs_010,2026-05-20T23:33:00.000Z,2026-05-22T20:02:31.146Z,Add keyboard shortcut overlay,添加快捷键浮层,Blocked,High,Backend,Cleo,bug;performance;docs,2026-05-18,2026-05-17,7,48,false,Touches the cell renderer and the embedded view path; coordinate with the formula refactor so we do not double-instrument.,"牵扯到单元格渲染和嵌入视图,要和公式重构那边对齐节奏。",50,Add_keyboard_shortcut_overlay--row_vs_010.md
row_vs_011,2026-05-21T09:10:00.000Z,2026-05-22T23:45:03.298Z,Polish drag-to-reorder,打磨拖拽排序体验,In Review,Critical,Design,Dimitri,feature;docs;bug,2026-05-21,2026-05-18,8,66,false,Small isolated change; should not require a migration.,"改动范围小,理论上不需要数据迁移。",100,
row_vs_012,2026-05-21T18:47:00.000Z,2026-05-22T08:55:56.694Z,Repair mobile nav toggle,修复移动端导航开关,Done,Low,Data,Esma,refactor;accessibility;performance,2026-05-24,2026-05-18,2,100,true,"Spans renderer, preload boundary, and main process — file under risky.","横跨渲染层、preload 边界和主进程,风险偏高,需要分步合并。",0,
row_vs_013,2026-05-22T04:24:00.000Z,2026-05-22T18:39:27.427Z,Cache embedded view bundles,缓存嵌入视图的数据,Backlog,Medium,Mobile,Ada,refactor;feature,2026-05-27,2026-05-19,5,96,false,"Quick win, mostly tracked elsewhere.","小任务,本周内可以收尾。",20,
row_vs_014,2026-05-22T14:01:00.000Z,2026-05-23T02:59:29.534Z,Replace deprecated date picker,替换已废弃的日期选择器,Todo,High,Frontend,Boris,feature,2026-05-30,2026-05-18,5,72,false,Needs design review before any code changes; expect comments from accessibility leads and from the team that owns the underlying telemetry.,"需要先和设计 review 一遍,确认无障碍同事的反馈。",50,
row_vs_015,2026-05-22T23:38:00.000Z,2026-05-24T13:32:18.359Z,Add bulk row delete,支持批量删除行,In Progress,Critical,Backend,Cleo,accessibility;docs,2026-05-12,2026-05-20,9,67,false,Blocked on upstream change in the storage adapter; will revisit once the streaming branch lands.,"上游存储改造合并后再继续推进,暂时挂起。",100,
row_vs_016,2026-05-23T09:15:00.000Z,2026-05-25T01:07:37.012Z,Surface git commit hashes,在界面上展示 Git 提交哈希,Blocked,Low,Design,Dimitri,feature,2026-05-15,2026-05-21,8,3,false,Touches the cell renderer and the embedded view path; coordinate with the formula refactor so we do not double-instrument.,"牵扯到单元格渲染和嵌入视图,要和公式重构那边对齐节奏。",5,
row_vs_017,2026-05-23T18:52:00.000Z,2026-05-24T04:50:32.754Z,Sync user avatars across views,在多视图之间同步用户头像,In Review,Medium,Data,Esma,docs;bug;refactor,2026-05-18,2026-05-22,5,14,false,Small isolated change; should not require a migration.,"改动范围小,理论上不需要数据迁移。",20,
row_vs_018,2026-05-24T04:29:00.000Z,2026-05-25T18:58:31.748Z,Add export to Markdown,支持导出为 Markdown,Done,High,Mobile,Ada,refactor;bug;accessibility,2026-05-21,2026-05-23,3,100,true,"Spans renderer, preload boundary, and main process — file under risky.","横跨渲染层、preload 边界和主进程,风险偏高,需要分步合并。",0,
row_vs_019,2026-05-24T14:06:00.000Z,2026-05-26T04:36:09.183Z,Improve formula error messages,改进公式报错提示,Backlog,Critical,Frontend,Boris,feature;refactor,2026-05-24,2026-05-21,3,19,false,"Quick win, mostly tracked elsewhere.","小任务,本周内可以收尾。",100,
row_vs_020,2026-05-24T23:43:00.000Z,2026-05-26T13:03:00.858Z,Profile renderer memory usage,分析渲染端内存占用,Todo,Low,Backend,Cleo,refactor;feature,2026-05-27,2026-05-23,1,2,false,Needs design review before any code changes; expect comments from accessibility leads and from the team that owns the underlying telemetry.,"需要先和设计 review 一遍,确认无障碍同事的反馈。",5,
row_vs_021,2026-05-25T09:20:00.000Z,2026-05-26T13:40:19.826Z,Tighten CSV escape rules,收紧 CSV 转义规则,In Progress,Medium,Design,Dimitri,refactor,2026-05-30,2026-05-22,11,83,false,Blocked on upstream change in the storage adapter; will revisit once the streaming branch lands.,"上游存储改造合并后再继续推进,暂时挂起。",20,
row_vs_022,2026-05-25T18:57:00.000Z,2026-05-27T10:52:47.953Z,Add localized number formats,支持本地化的数字格式,Blocked,High,Data,Esma,accessibility;refactor,2026-05-12,2026-05-22,12,21,false,Touches the cell renderer and the embedded view path; coordinate with the formula refactor so we do not double-instrument.,"牵扯到单元格渲染和嵌入视图,要和公式重构那边对齐节奏。",50,
row_vs_023,2026-05-26T04:34:00.000Z,2026-05-27T23:53:27.861Z,Make sidebar resizable,实现可调宽度的侧边栏,In Review,Critical,Mobile,Ada,feature,2026-05-15,2026-05-25,7,50,false,Small isolated change; should not require a migration.,"改动范围小,理论上不需要数据迁移。",100,
