id,created_time,updated_time,title,chinese_title,kind,source_channel,severity,topic,tags,occurred_at,count,resolved,note,chinese_note,urgency_score,page_file
row_2k_00001,2026-05-17T01:25:05.851Z,2026-05-17T04:48:48.089Z,Customer report: billing webhook retries #1,客户反馈: 账单 Webhook 重试 #1,Email,Customer email,Medium,UI,urgent;customer,2026-05-17,1,true,,,0,Customer_report_billing_webhook_retries_#1--row_2k_00001.md
row_2k_00002,2026-05-17T01:37:39.970Z,2026-05-17T04:48:20.277Z,Engineering note: infra cost trend #2,工程笔记: 基础设施成本上扬 #2,Slack,Internal slack,Medium,Auth,internal;customer,2026-05-17,9,true,Short note.,"已记录,本周不需要额外动作。",0,Engineering_note_infra_cost_trend_#2--row_2k_00002.md
row_2k_00003,2026-05-16T18:31:49.229Z,2026-05-16T21:07:29.614Z,Incident drill: feature flag rollout #3,应急演练: 功能开关灰度 #3,Bug,Support ticket,Low,Search,automated;manual,2026-05-16,39,false,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",8,Incident_drill_feature_flag_rollout_#3--row_2k_00003.md
row_2k_00004,2026-05-16T11:18:42.085Z,2026-05-16T16:04:30.302Z,Bug triage: auth latency spike #4,Bug 分诊: 登录延迟突增 #4,Note,Support ticket,Critical,Analytics,,2026-05-16,12,false,Worth a follow up with the owning team. Recheck after the next release branch is cut to confirm the regression is fully gone and that the dashboards reflect the recovered state.,需要在下一个发布周期内复查。建议把链接放进 runbook 作为案例。,100,Bug_triage_auth_latency_spike_#4--row_2k_00004.md
row_2k_00005,2026-05-16T01:38:29.010Z,2026-05-16T05:27:58.401Z,Sync recap: UI shimmer regression #5,同步回顾: 界面闪烁回归 #5,Meeting,Status page,Info,Mobile,,2026-05-16,9,true,Triaged in standup. Lower confidence than usual because the alert fired during a deploy window and may be incidental. Will need a second data point before we escalate.,"在站会上分诊。告警在发布窗口期触发,可能是偶发,需要再观察一轮。",0,Sync_recap_UI_shimmer_regression_#5--row_2k_00005.md
row_2k_00006,2026-05-15T13:54:07.250Z,2026-05-15T14:33:41.591Z,Doc update: analytics gap #6,文档更新: 数据上报缺口 #6,Doc,Customer email,Critical,Search,automated,2026-05-15,44,true,Customer is unblocked but reports a similar symptom intermittently. Tagging for the next cross-team review.,"客户问题已临时绕过,但仍偶发相似症状,留作跨组例会议题。",0,Doc_update_analytics_gap_#6--row_2k_00006.md
row_2k_00007,2026-05-15T11:41:58.872Z,2026-05-15T12:23:49.047Z,Investigation: schema migration delay #7,排查记录: 迁移延期 #7,Email,Customer email,Critical,Analytics,,2026-05-15,17,true,Marked as automated rollup; the underlying batch retried successfully on its own. Keep the link for the runbook so we have an example.,"自动批处理已重试成功,标记为自动化。链接保留供新人参考。",0,Investigation_schema_migration_delay_#7--row_2k_00007.md
row_2k_00008,2026-05-15T01:34:01.257Z,2026-05-15T05:08:03.339Z,Follow up: search index rebuild #8,跟进事项: 搜索索引重建 #8,Slack,Pager duty,Critical,Billing,urgent;manual,2026-05-15,29,true,,,0,Follow_up_search_index_rebuild_#8--row_2k_00008.md
row_2k_00009,2026-05-14T19:53:21.953Z,2026-05-14T23:18:49.615Z,Telemetry blip: mobile crash cluster #9,遥测异常: 移动端崩溃聚簇 #9,Bug,Support ticket,High,Auth,automated;customer,2026-05-14,8,true,Short note.,"已记录,本周不需要额外动作。",0,Telemetry_blip_mobile_crash_cluster_#9--row_2k_00009.md
row_2k_00010,2026-05-14T08:59:45.055Z,2026-05-14T10:33:06.795Z,Pager event: queue backlog growth #10,值班事件: 队列积压增长 #10,Note,Status page,Medium,UI,urgent,2026-05-14,25,false,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",25,Pager_event_queue_backlog_growth_#10--row_2k_00010.md
row_2k_00011,2026-05-14T04:01:12.172Z,2026-05-14T06:04:34.195Z,Customer report: billing webhook retries #11,客户反馈: 账单 Webhook 重试 #11,Meeting,Telemetry alert,High,Billing,customer,2026-05-14,38,true,Worth a follow up with the owning team. Recheck after the next release branch is cut to confirm the regression is fully gone and that the dashboards reflect the recovered state.,需要在下一个发布周期内复查。建议把链接放进 runbook 作为案例。,0,
row_2k_00012,2026-05-13T22:32:40.020Z,2026-05-14T00:05:52.070Z,Engineering note: infra cost trend #12,工程笔记: 基础设施成本上扬 #12,Doc,Telemetry alert,Low,Infra,,2026-05-13,49,true,Triaged in standup. Lower confidence than usual because the alert fired during a deploy window and may be incidental. Will need a second data point before we escalate.,"在站会上分诊。告警在发布窗口期触发,可能是偶发,需要再观察一轮。",0,
row_2k_00013,2026-05-13T17:33:30.681Z,2026-05-13T18:56:53.035Z,Incident drill: feature flag rollout #13,应急演练: 功能开关灰度 #13,Email,Customer email,Low,Search,automated;manual,2026-05-13,30,false,Customer is unblocked but reports a similar symptom intermittently. Tagging for the next cross-team review.,"客户问题已临时绕过,但仍偶发相似症状,留作跨组例会议题。",8,
row_2k_00014,2026-05-13T12:05:06.061Z,2026-05-13T14:16:16.023Z,Bug triage: auth latency spike #14,Bug 分诊: 登录延迟突增 #14,Slack,Pager duty,High,Infra,customer,2026-05-13,37,false,Marked as automated rollup; the underlying batch retried successfully on its own. Keep the link for the runbook so we have an example.,"自动批处理已重试成功,标记为自动化。链接保留供新人参考。",60,
row_2k_00015,2026-05-12T23:03:13.369Z,2026-05-12T23:59:04.771Z,Sync recap: UI shimmer regression #15,同步回顾: 界面闪烁回归 #15,Bug,Support ticket,Info,Auth,,2026-05-12,45,false,,,1,
row_2k_00016,2026-05-12T20:52:37.511Z,2026-05-12T21:33:55.086Z,Doc update: analytics gap #16,文档更新: 数据上报缺口 #16,Note,Support ticket,Critical,Analytics,manual;automated,2026-05-12,50,false,Short note.,"已记录,本周不需要额外动作。",100,
row_2k_00017,2026-05-12T12:39:55.656Z,2026-05-12T15:43:15.543Z,Investigation: schema migration delay #17,排查记录: 迁移延期 #17,Meeting,Telemetry alert,Low,Auth,internal,2026-05-12,2,false,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",8,
row_2k_00018,2026-05-12T00:31:30.839Z,2026-05-12T02:24:03.783Z,Follow up: search index rebuild #18,跟进事项: 搜索索引重建 #18,Doc,Customer email,Medium,Infra,automated,2026-05-12,4,false,Worth a follow up with the owning team. Recheck after the next release branch is cut to confirm the regression is fully gone and that the dashboards reflect the recovered state.,需要在下一个发布周期内复查。建议把链接放进 runbook 作为案例。,25,
row_2k_00019,2026-05-11T18:01:50.055Z,2026-05-11T22:23:32.392Z,Telemetry blip: mobile crash cluster #19,遥测异常: 移动端崩溃聚簇 #19,Email,Internal slack,Low,UI,urgent;internal,2026-05-11,23,true,Triaged in standup. Lower confidence than usual because the alert fired during a deploy window and may be incidental. Will need a second data point before we escalate.,"在站会上分诊。告警在发布窗口期触发,可能是偶发,需要再观察一轮。",0,
row_2k_00020,2026-05-11T18:20:46.317Z,2026-05-11T20:58:01.610Z,Pager event: queue backlog growth #20,值班事件: 队列积压增长 #20,Slack,Internal slack,High,Analytics,customer;automated,2026-05-11,43,true,Customer is unblocked but reports a similar symptom intermittently. Tagging for the next cross-team review.,"客户问题已临时绕过,但仍偶发相似症状,留作跨组例会议题。",0,
row_2k_00021,2026-05-11T06:16:04.831Z,2026-05-11T10:59:57.973Z,Customer report: billing webhook retries #21,客户反馈: 账单 Webhook 重试 #21,Bug,Support ticket,Medium,Mobile,customer,2026-05-11,22,false,Marked as automated rollup; the underlying batch retried successfully on its own. Keep the link for the runbook so we have an example.,"自动批处理已重试成功,标记为自动化。链接保留供新人参考。",25,
row_2k_00022,2026-05-10T23:05:23.105Z,2026-05-11T02:08:56.939Z,Engineering note: infra cost trend #22,工程笔记: 基础设施成本上扬 #22,Note,Status page,Medium,Search,urgent;customer,2026-05-10,26,true,,,0,
row_2k_00023,2026-05-10T19:37:50.302Z,2026-05-10T19:55:30.423Z,Incident drill: feature flag rollout #23,应急演练: 功能开关灰度 #23,Meeting,Telemetry alert,High,Infra,,2026-05-10,17,true,Short note.,"已记录,本周不需要额外动作。",0,
row_2k_00024,2026-05-10T05:54:25.275Z,2026-05-10T10:35:17.117Z,Bug triage: auth latency spike #24,Bug 分诊: 登录延迟突增 #24,Doc,Customer email,Critical,UI,manual,2026-05-10,17,true,Owner ack'd; no action required this cycle.,"负责人已确认,等待下周复盘。",0,
row_2k_00025,2026-05-09T21:45:10.508Z,2026-05-09T23:48:00.611Z,Sync recap: UI shimmer regression #25,同步回顾: 界面闪烁回归 #25,Email,Customer email,Critical,Search,automated;manual,2026-05-09,49,true,Worth a follow up with the owning team. Recheck after the next release branch is cut to confirm the regression is fully gone and that the dashboards reflect the recovered state.,需要在下一个发布周期内复查。建议把链接放进 runbook 作为案例。,0,
row_2k_00026,2026-05-09T20:16:41.957Z,2026-05-10T00:10:34.718Z,Doc update: analytics gap #26,文档更新: 数据上报缺口 #26,Slack,Pager duty,Low,Billing,manual;internal,2026-05-09,33,true,Triaged in standup. Lower confidence than usual because the alert fired during a deploy window and may be incidental. Will need a second data point before we escalate.,"在站会上分诊。告警在发布窗口期触发,可能是偶发,需要再观察一轮。",0,
row_2k_00027,2026-05-09T14:33:34.194Z,2026-05-09T15:08:33.566Z,Investigation: schema migration delay #27,排查记录: 迁移延期 #27,Bug,Pager duty,High,Mobile,urgent;customer,2026-05-09,49,true,Customer is unblocked but reports a similar symptom intermittently. Tagging for the next cross-team review.,"客户问题已临时绕过,但仍偶发相似症状,留作跨组例会议题。",0,
